Transcript,Average_HalfLife
YLR157C,158.62272087862763
YLR258W,339.0781026170084
YBR053C,78.41524930544458
YNL028W,1427.0638676952922
YNL187W,367.3153514308606
YLR245C,413.034548738875
YHL029C,89.51058074637454
YHR199C,115.79572258648265
YNL118C,141.54647849749796
YGR250C,251.7601148098759
YGR199W,286.6770162764709
YKL120W,90.41154481797965
YAL054C,149.39588426695482
YOL015W,121.20339322803332
YIL135C,80.05592123310394
YPR201W,109.11007830215561
YAL015C,131.78691641091473
YPR096C,77.99362994680153
YPR109W,311.4335079655743
YDR374C,147.0778734828598
YJL021C,97.04764067555705
YOR374W,276.03324947073236
YOR298W,313.2500744802265
YGR127W,123.18188246896148
YPR078C,91.31321893052989
YBR076W,207.41772137760847
YML045W,95.51861684217586
YDR204W,113.36958296108914
YDR240C,107.09851188855062
YIR011C,173.64657357244297
YPL281C,85.88428310038843
YCL006C,96.52192334312525
YKR002W,131.94818481309588
YPL257W,419.15459283839243
YBR166C,111.89985761713751
YMR252C,162.1977567741276
YBR083W,96.14823479947873
YOR387C,266.85662230902784
YLR282C,299.73771768253914
YDR370C,475.25155456642955
YDL161W,220.37648282328354
YJR050W,151.15876095496333
YMR258C,153.12453351723795
YDR283C,92.94133001314276
YDR128W,144.1543469875572
YCR010C,951.9701528574284
YCR025C,85.71593423871936
YHR157W,129.57862470877544
YPL119C,2066.8969482536486
YNL202W,115.99927931848757
YCL027W,1116.6737822488772
YGL052W,228.55364796173924
YDR257C,143.00363236681554
YOR208W,124.4818000605498
YJL086C,83.7081094914419
YGR043C,206.125173346731
YLR279W,209.73295970699095
YGR273C,110.33981855474264
Q0065,80.60628890715566
YIL087C,151.94989172151273
YOR292C,199.088801640012
YKR044W,88.58192575352321
YIL168W,159.98590726525353
YMR152W,136.48889545914102
YLR458W,119.2845992695268
YIR032C,286.5420191813161
YMR082C,135.65858904117042
YOR073W,100.5028765050045
YHR175W,192.35637326088
YLR013W,666.5720170110579
YLR173W,109.43449045552008
YBR100W,84.06075526599487
YBR209W,1117.5070931028615
YHR177W,136.73917235418503
YIL032C,96.26757084738361
YMR180C,146.80630142164637
YEL057C,145.86947912959138
YKR049C,637.3926339826778
YDR095C,263.0333351608529
